!Autoignition measurements and a validated kinetic model for the biodiesel surrogate, methyl butanoate.
!S. Dooley, H.J. Curran and J. M. Simmie, Combust. Flame 153 (2008) 2–32.
H                 0   145.000      2.050     0.000    0.000     0.000
H2                1    38.000      2.920     0.000    0.790   280.000
CH2OCH2O2H        2   395.000      4.037     1.300    0.000     1.000
C4H8O1-4          2   496.000      5.200     0.000    0.000     1.000
IC4KETIT          2   436.400      5.352     0.000    0.000     1.000
O                 0    80.000      2.750     0.000    0.000     0.000
CH3OCH2O2H        2   395.000      4.037     1.300    0.000     1.000
C4H8O2-3          2   496.000      5.200     0.000    0.000     1.000
IC4H7OH           2   502.200      5.356     1.800    0.000     1.000
O2                1   107.400      3.458     0.000    1.600     3.800
CH3OCH2O          2   395.000      4.037     1.300    0.000     1.000
C4H8OH-1          2   496.000      5.200     0.000    0.000     1.000
IC4H6OH           2   502.200      5.356     1.800    0.000     1.000
OH                1    80.000      2.750     0.000    0.000     0.000
O2CH2OCH2O2H      2   395.000      4.037     1.300    0.000     1.000
C4H8OH-2          2   496.000      5.200     0.000    0.000     1.000
IC3H5CHO          2   436.400      5.352     0.000    0.000     1.000
H2O               2   572.400      2.605     1.844    0.000     4.000
HO2CH2OCHO        2   395.000      4.037     1.300    0.000     1.000
C4H8OH-1O2        2   502.200      5.356     1.800    0.000     1.000
IC3H5CO           2   436.400      5.352     0.000    0.000     1.000
N2                1    97.530      3.621     0.000    1.760     4.000
OCH2OCHO          2   395.000      4.037     1.300    0.000     1.000
C4H8OH-2O2        2   502.200      5.356     1.800    0.000     1.000
TC3H6OCHO         2   436.400      5.352     0.000    0.000     1.000
HO2               2   107.400      3.458     0.000    0.000     1.000
HOCH2OCO          2   395.000      4.037     1.300    0.000     1.000
C4H8OOH1-1        2   357.100      4.720     0.000    0.000     1.000
IC3H6CO           2   436.400      5.352     0.000    0.000     1.000
H2O2              2   107.400      3.458     0.000    0.000     3.800
CH3OCHO           2   395.000      4.037     1.300    0.000     1.000
C4H8OOH1-2        2   496.000      5.200     0.000    0.000     1.000
IC4H7OOH          2   436.400      5.352     0.000    0.000     1.000
AR                0   136.500      3.330     0.000    0.000     0.000
CH3OCO            2   395.000      4.037     1.300    0.000     1.000
C4H8OOH1-3        2   496.000      5.200     0.000    0.000     1.000
TC3H6OHCHO        2   436.400      5.352     0.000    0.000     1.000
CO                1    98.100      3.650     0.000    1.950     1.800
CH2OCHO           2   395.000      4.037     1.300    0.000     1.000
C4H8OOH1-4        2   496.000      5.200     0.000    0.000     1.000
TC3H6OH           2   459.500      5.036     1.700    0.000     1.000
CO2               1   244.000      3.763     0.000    2.650     2.100
HE                0    10.200      2.576     0.000    0.000     0.000
C4H8OOH2-1        2   496.000      5.200     0.000    0.000     1.000
IC3H5OH           2   459.500      5.036     1.700    0.000     1.000
CH2O              2   498.000      3.590     0.000    0.000     2.000
C3H8              2   303.400      4.810     0.000    0.000     1.000
C4H8OOH2-2        2   357.100      4.720     0.000    0.000     1.000
TC3H6O2CHO        2   436.400      5.352     0.000    0.000     1.000
HCO               2   498.000      3.590     0.000    0.000     0.000
IC3H7             2   303.400      4.810     0.000    0.000     1.000
C4H8OOH2-3        2   496.000      5.200     0.000    0.000     1.000
TC3H6O2HCO        2   436.400      5.352     0.000    0.000     1.000
HO2CHO            2   436.000      3.970     0.000    0.000     2.000
NC3H7             2   303.400      4.810     0.000    0.000     1.000
C4H8OOH2-4        2   496.000      5.200     0.000    0.000     1.000
IC3H5O2HCHO       2   436.400      5.352     0.000    0.000     1.000
O2CHO             2   436.000      3.970     0.000    0.000     2.000
C3H6              2   307.800      4.140     0.000    0.000     1.000
C4H8OOH1-2O2      2   496.000      5.200     0.000    0.000     1.000
CH2CCH2OH         2   481.500      4.997     1.700    0.000     1.000
HOCHO             2   436.000      3.970     0.000    0.000     2.000
C4H8OOH1-3O2      2   496.000      5.200     0.000    0.000     1.000
TC4H8CHO          2   476.000      5.778     2.600    0.000     1.000
OCHO              2   498.000      3.590     0.000    0.000     2.000
C3H5-S            2   316.000      4.220     0.000    0.000     1.000
C4H8OOH1-4O2      2   496.000      5.200     0.000    0.000     1.000
O2C4H8CHO         2   476.000      5.778     2.600    0.000     1.000
HOCH2O2H          2   481.800      3.626     1.700    0.000     1.000
C3H5-T            2   316.000      4.220     0.000    0.000     1.000
C4H8OOH2-1O2      2   496.000      5.200     0.000    0.000     1.000
O2HC4H8CO         2   476.000      5.778     2.600    0.000     1.000
HOCH2O2           2   481.800      3.626     1.700    0.000     1.000
C3H4-P            1   324.800      4.290     0.000    0.000     1.000
C3H4-A            1   324.800      4.290     0.000    0.000     1.000
C4H8OOH2-3O2      2   496.000      5.200     0.000    0.000     1.000
C3H5OH            2   481.500      4.997     1.700    0.000     1.000
OCH2O2H           2   481.800      3.626     1.700    0.000     1.000
C4H8OOH2-4O2      2   496.000      5.200     0.000    0.000     1.000
MB                2   468.000      2.050     0.000    0.000     0.000! 
HOCH2O            2   470.600      4.410     0.000    0.000     1.500
C3H3              1   324.800      4.290     0.000    0.000     1.000
NC4KET12          2   476.000      5.778     2.600    0.000     1.000
MB2D              2   468.500      5.230     0.000    0.000     1.000
CH3OH             2   481.800      3.626     0.000    0.000     1.000
C3H2              2   209.000      4.100     0.000    0.000     1.000
NC4KET13          2   476.000      5.778     2.600    0.000     1.000
MB2J              2   468.500      5.230     0.000    0.000     1.000
